Local time,Open,High,Low,Close,Volume
22.01.2024 08:31:14.000 GMT-0600,192.627,192.627,192.607,192.617,0.06
22.01.2024 08:31:15.000 GMT-0600,192.607,192.637,192.606,192.637,0.06
22.01.2024 08:31:16.000 GMT-0600,192.626,192.636,192.607,192.607,0.06
22.01.2024 08:31:17.000 GMT-0600,192.617,192.637,192.617,192.626,0.072
22.01.2024 08:31:18.000 GMT-0600,192.626,192.637,192.617,192.636,0.072
22.01.2024 08:31:19.000 GMT-0600,192.626,192.626,192.616,192.616,0.036
22.01.2024 08:31:20.000 GMT-0600,192.617,192.636,192.586,192.586,0.06
22.01.2024 08:31:21.000 GMT-0600,192.587,192.587,192.546,192.557,0.08399999999999999
22.01.2024 08:31:22.000 GMT-0600,192.556,192.586,192.556,192.567,0.096
22.01.2024 08:31:23.000 GMT-0600,192.567,192.587,192.567,192.587,0.048
22.01.2024 08:31:24.000 GMT-0600,192.587,192.617,192.587,192.617,0.08399999999999999
22.01.2024 08:31:25.000 GMT-0600,192.586,192.597,192.576,192.586,0.096
22.01.2024 08:31:26.000 GMT-0600,192.596,192.637,192.596,192.626,0.072
22.01.2024 08:31:27.000 GMT-0600,192.627,192.627,192.597,192.616,0.08399999999999999
22.01.2024 08:31:28.000 GMT-0600,192.606,192.607,192.576,192.596,0.12
22.01.2024 08:31:29.000 GMT-0600,192.576,192.617,192.576,192.576,0.096
22.01.2024 08:31:30.000 GMT-0600,192.587,192.597,192.577,192.596,0.096
22.01.2024 08:31:31.000 GMT-0600,192.567,192.587,192.557,192.587,0.072
22.01.2024 08:31:32.000 GMT-0600,192.586,192.606,192.586,192.606,0.06
22.01.2024 08:31:33.000 GMT-0600,192.606,192.606,192.576,192.576,0.048
22.01.2024 08:31:34.000 GMT-0600,192.576,192.606,192.576,192.606,0.096
22.01.2024 08:31:35.000 GMT-0600,192.607,192.616,192.596,192.607,0.048
22.01.2024 08:31:36.000 GMT-0600,192.616,192.627,192.616,192.626,0.072
22.01.2024 08:31:37.000 GMT-0600,192.626,192.626,192.617,192.626,0.036
22.01.2024 08:31:38.000 GMT-0600,192.616,192.617,192.606,192.617,0.036
22.01.2024 08:31:39.000 GMT-0600,192.626,192.626,192.606,192.617,0.096
22.01.2024 08:31:40.000 GMT-0600,192.626,192.627,192.617,192.627,0.08399999999999999
22.01.2024 08:31:41.000 GMT-0600,192.637,192.676,192.626,192.666,0.108
22.01.2024 08:31:42.000 GMT-0600,192.677,192.716,192.677,192.716,0.06
22.01.2024 08:31:43.000 GMT-0600,192.727,192.737,192.726,192.726,0.072
22.01.2024 08:31:44.000 GMT-0600,192.717,192.727,192.717,192.727,0.036
22.01.2024 08:31:45.000 GMT-0600,192.736,192.736,192.727,192.736,0.08399999999999999
22.01.2024 08:31:46.000 GMT-0600,192.727,192.727,192.717,192.717,0.024
22.01.2024 08:31:47.000 GMT-0600,192.727,192.797,192.726,192.786,0.144
22.01.2024 08:31:48.000 GMT-0600,192.796,192.827,192.796,192.797,0.096
22.01.2024 08:31:49.000 GMT-0600,192.796,192.816,192.777,192.777,0.06
22.01.2024 08:31:50.000 GMT-0600,192.777,192.777,192.776,192.776,0.06
22.01.2024 08:31:51.000 GMT-0600,192.806,192.806,192.777,192.777,0.06
22.01.2024 08:31:52.000 GMT-0600,192.756,192.787,192.756,192.756,0.12
22.01.2024 08:31:53.000 GMT-0600,192.757,192.767,192.756,192.756,0.072
22.01.2024 08:31:54.000 GMT-0600,192.747,192.766,192.746,192.756,0.072
22.01.2024 08:31:55.000 GMT-0600,192.766,192.767,192.756,192.766,0.06
22.01.2024 08:31:56.000 GMT-0600,192.756,192.767,192.756,192.757,0.06
22.01.2024 08:31:57.000 GMT-0600,192.766,192.777,192.766,192.766,0.048
22.01.2024 08:31:58.000 GMT-0600,192.756,192.757,192.756,192.757,0.024
22.01.2024 08:31:59.000 GMT-0600,192.757,192.806,192.757,192.786,0.096
22.01.2024 08:32:00.000 GMT-0600,192.767,192.796,192.767,192.796,0.072
22.01.2024 08:32:01.000 GMT-0600,192.806,192.877,192.806,192.866,0.12
22.01.2024 08:32:02.000 GMT-0600,192.876,192.907,192.876,192.906,0.108
22.01.2024 08:32:03.000 GMT-0600,192.906,192.917,192.906,192.907,0.072
22.01.2024 08:32:04.000 GMT-0600,192.907,192.946,192.907,192.936,0.048
22.01.2024 08:32:05.000 GMT-0600,192.946,192.957,192.937,192.947,0.096
22.01.2024 08:32:06.000 GMT-0600,192.947,192.967,192.946,192.946,0.072
22.01.2024 08:32:07.000 GMT-0600,192.946,193.017,192.946,192.966,0.156
22.01.2024 08:32:08.000 GMT-0600,192.967,192.977,192.966,192.967,0.072
22.01.2024 08:32:09.000 GMT-0600,192.957,192.957,192.956,192.956,0.036
22.01.2024 08:32:10.000 GMT-0600,192.956,192.957,192.927,192.937,0.072
22.01.2024 08:32:11.000 GMT-0600,192.956,192.956,192.936,192.937,0.08399999999999999
22.01.2024 08:32:12.000 GMT-0600,192.936,192.957,192.936,192.957,0.08399999999999999
22.01.2024 08:32:13.000 GMT-0600,192.956,192.976,192.956,192.976,0.072
22.01.2024 08:32:14.000 GMT-0600,192.966,193.016,192.966,192.976,0.096
22.01.2024 08:32:15.000 GMT-0600,193.007,193.007,192.976,192.976,0.096
22.01.2024 08:32:16.000 GMT-0600,192.976,193.007,192.976,192.977,0.048
22.01.2024 08:32:17.000 GMT-0600,192.977,193.036,192.977,192.996,0.12
22.01.2024 08:32:18.000 GMT-0600,192.996,193.017,192.986,192.986,0.072
22.01.2024 08:32:19.000 GMT-0600,192.996,193.036,192.996,192.996,0.08399999999999999
22.01.2024 08:32:20.000 GMT-0600,193.017,193.037,193.016,193.017,0.108
22.01.2024 08:32:21.000 GMT-0600,193.017,193.076,193.016,193.076,0.072
22.01.2024 08:32:22.000 GMT-0600,193.076,193.116,193.067,193.096,0.144
22.01.2024 08:32:23.000 GMT-0600,193.096,193.106,193.086,193.086,0.072
22.01.2024 08:32:24.000 GMT-0600,193.076,193.107,193.076,193.086,0.108
22.01.2024 08:32:25.000 GMT-0600,193.057,193.096,193.056,193.057,0.144
22.01.2024 08:32:26.000 GMT-0600,193.056,193.086,193.056,193.077,0.06
22.01.2024 08:32:27.000 GMT-0600,193.106,193.117,193.076,193.077,0.08399999999999999
22.01.2024 08:32:28.000 GMT-0600,193.077,193.077,193.057,193.077,0.06
22.01.2024 08:32:29.000 GMT-0600,193.116,193.127,193.076,193.076,0.08399999999999999
22.01.2024 08:32:30.000 GMT-0600,193.077,193.116,193.077,193.116,0.08399999999999999
22.01.2024 08:32:31.000 GMT-0600,193.137,193.196,193.136,193.137,0.072
22.01.2024 08:32:32.000 GMT-0600,193.177,193.187,193.157,193.186,0.06
22.01.2024 08:32:33.000 GMT-0600,193.196,193.216,193.196,193.206,0.08399999999999999
22.01.2024 08:32:34.000 GMT-0600,193.207,193.207,193.186,193.207,0.072
22.01.2024 08:32:35.000 GMT-0600,193.217,193.227,193.216,193.227,0.048
22.01.2024 08:32:36.000 GMT-0600,193.277,193.287,193.267,193.287,0.048
22.01.2024 08:32:37.000 GMT-0600,193.277,193.327,193.277,193.327,0.108
22.01.2024 08:32:38.000 GMT-0600,193.317,193.317,193.296,193.317,0.096
22.01.2024 08:32:39.000 GMT-0600,193.327,193.327,193.316,193.326,0.06
22.01.2024 08:32:40.000 GMT-0600,193.316,193.347,193.316,193.316,0.096
22.01.2024 08:32:41.000 GMT-0600,193.347,193.347,193.296,193.296,0.06
22.01.2024 08:32:42.000 GMT-0600,193.316,193.316,193.266,193.277,0.108
22.01.2024 08:32:43.000 GMT-0600,193.266,193.277,193.226,193.226,0.072
22.01.2024 08:32:44.000 GMT-0600,193.237,193.247,193.226,193.227,0.072
22.01.2024 08:32:45.000 GMT-0600,193.246,193.246,193.216,193.216,0.048
22.01.2024 08:32:46.000 GMT-0600,193.237,193.237,193.236,193.236,0.024
22.01.2024 08:32:47.000 GMT-0600,193.246,193.247,193.216,193.216,0.06
22.01.2024 08:32:48.000 GMT-0600,193.226,193.237,193.226,193.226,0.072
22.01.2024 08:32:49.000 GMT-0600,193.216,193.216,193.197,193.207,0.072
22.01.2024 08:32:50.000 GMT-0600,193.226,193.227,193.206,193.226,0.12
22.01.2024 08:32:51.000 GMT-0600,193.227,193.227,193.207,193.226,0.08399999999999999
22.01.2024 08:32:52.000 GMT-0600,193.227,193.227,193.166,193.166,0.096
22.01.2024 08:32:53.000 GMT-0600,193.167,193.167,193.156,193.167,0.096
22.01.2024 08:32:54.000 GMT-0600,193.177,193.177,193.136,193.157,0.12
22.01.2024 08:32:55.000 GMT-0600,193.167,193.207,193.156,193.207,0.096
22.01.2024 08:32:56.000 GMT-0600,193.227,193.227,193.186,193.207,0.072
22.01.2024 08:32:57.000 GMT-0600,193.207,193.216,193.197,193.216,0.08399999999999999
22.01.2024 08:32:58.000 GMT-0600,193.207,193.217,193.206,193.206,0.048
22.01.2024 08:32:59.000 GMT-0600,193.217,193.236,193.207,193.217,0.072
22.01.2024 08:33:00.000 GMT-0600,193.236,193.276,193.236,193.276,0.048
22.01.2024 08:33:01.000 GMT-0600,193.307,193.326,193.296,193.306,0.08399999999999999
22.01.2024 08:33:02.000 GMT-0600,193.296,193.326,193.296,193.326,0.08399999999999999
22.01.2024 08:33:03.000 GMT-0600,193.327,193.337,193.326,193.337,0.048
22.01.2024 08:33:04.000 GMT-0600,193.337,193.337,193.336,193.336,0.048
22.01.2024 08:33:05.000 GMT-0600,193.356,193.356,193.346,193.346,0.072
22.01.2024 08:33:06.000 GMT-0600,193.346,193.357,193.346,193.346,0.08399999999999999
22.01.2024 08:33:07.000 GMT-0600,193.347,193.347,193.336,193.336,0.036
22.01.2024 08:33:08.000 GMT-0600,193.337,193.347,193.336,193.337,0.072
22.01.2024 08:33:09.000 GMT-0600,193.337,193.367,193.337,193.367,0.036
22.01.2024 08:33:10.000 GMT-0600,193.376,193.376,193.356,193.356,0.072
22.01.2024 08:33:11.000 GMT-0600,193.356,193.366,193.336,193.336,0.06
22.01.2024 08:33:12.000 GMT-0600,193.337,193.337,193.307,193.307,0.072
22.01.2024 08:33:13.000 GMT-0600,193.287,193.296,193.256,193.296,0.12
22.01.2024 08:33:14.000 GMT-0600,193.307,193.327,193.307,193.327,0.036
22.01.2024 08:33:15.000 GMT-0600,193.327,193.327,193.326,193.326,0.024
22.01.2024 08:33:16.000 GMT-0600,193.336,193.376,193.336,193.376,0.096
22.01.2024 08:33:18.000 GMT-0600,193.386,193.406,193.386,193.406,0.048
22.01.2024 08:33:19.000 GMT-0600,193.397,193.397,193.397,193.397,0.012
22.01.2024 08:33:20.000 GMT-0600,193.396,193.407,193.376,193.376,0.06
22.01.2024 08:33:21.000 GMT-0600,193.377,193.377,193.366,193.366,0.08399999999999999
22.01.2024 08:33:23.000 GMT-0600,193.376,193.376,193.286,193.297,0.072
22.01.2024 08:33:24.000 GMT-0600,193.287,193.306,193.287,193.306,0.024
